LR,DT,RF,Kmeans
"[18.9810632   1.58876222 16.51458983 ...  8.34359505  2.55826657
  8.30049322]","[14.77909091  4.4345283  14.77909091 ...  4.4345283   4.4345283
  4.4345283 ]","[20.63853198  4.77129562 14.62993271 ...  5.09507513  4.78185627
  5.21609593]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917    4.25  16.50
2918   11.95  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    9.18   5.85

[2922 rows x 2 columns]"
"[19.96150765  1.97998985 15.76263751 ...  8.33657702  3.05465053
  8.2367976 ]","[13.69684211  4.42912281 13.69684211 ...  4.42912281  4.42912281
  4.42912281]","[21.35081456  4.6210645  14.87393584 ...  4.93894388  4.93045396
  5.50086654]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917    4.25  16.50
2918    5.45  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    9.18   5.85

[2922 rows x 2 columns]"
"[19.74628317  2.48780344 16.42714401 ...  7.65426836  2.75094563
  8.02222978]","[13.44        4.34630769 13.44       ...  4.34630769  4.34630769
  4.34630769]","[23.38533513  4.47671802 14.58233691 ...  4.7226076   4.86234926
  5.43225073]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917    4.25  16.50
2918    5.45  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    9.18   5.85

[2922 rows x 2 columns]"
"[19.97065452  2.56551555 15.87930085 ...  8.02783412  4.54361914
  9.24345015]","[14.14333333  4.2415942  14.14333333 ...  4.2415942   4.2415942
  4.2415942 ]","[22.70683834  4.33707649 15.03081895 ...  4.69710855  4.69283577
  4.96120301]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   23.00  16.50
2918    5.45  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    9.18   5.85

[2922 rows x 2 columns]"
"[20.90743885  2.40181541 15.60308418 ...  7.64496378  5.23466043
  9.40001486]","[14.14333333  4.15986667 14.14333333 ...  4.15986667  4.15986667
  4.15986667]","[23.15878648  4.44772461 15.31336177 ...  4.87967276  4.80101989
  4.93168708]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   23.00  16.50
2918    5.45  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    9.18   5.85

[2922 rows x 2 columns]"
"[20.81264723  1.87723398 15.62013337 ...  7.88135143  5.12939486
  8.96381949]","[14.14333333  4.12407407 14.14333333 ...  4.12407407  4.12407407
  4.12407407]","[21.68032844  4.32160698 15.70348486 ...  4.82887309  4.70519511
  5.04921458]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   23.00  16.50
2918    5.45  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    9.18   5.85

[2922 rows x 2 columns]"
"[21.64124938  1.60454206 15.53382604 ...  8.65158245  4.18436612
  8.9465089 ]","[14.14333333  4.18264368 14.14333333 ...  4.18264368  4.18264368
  4.18264368]","[21.45624359  4.34180314 15.55734937 ...  4.81414731  4.76564325
  4.92598311]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   23.00  16.50
2918    5.45  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    9.18   5.85

[2922 rows x 2 columns]"
"[22.28065038  1.82001323 15.64539514 ...  8.80882169  4.4895872
  9.32708486]","[14.151       3.91520548 14.151      ...  3.91520548  3.91520548
  3.91520548]","[22.44125492  4.42010385 15.42651    ...  5.02196099  4.90240359
  5.19146325]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   23.00  16.50
2918    5.45  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    9.18   5.85

[2922 rows x 2 columns]"
"[23.6509479   2.59409624 15.42333592 ...  7.20581608  3.07889669
  8.93399322]","[18.73157895  4.23344086 18.73157895 ...  4.23344086  4.23344086
  4.23344086]","[22.21603281  4.56679448 16.28178407 ...  4.78576831  4.81856571
  5.11676191]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   23.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    9.18   5.85

[2922 rows x 2 columns]"
"[23.53152433  2.93651407 15.48833112 ...  6.83977144  3.36615443
  8.46421741]","[18.73157895  4.2152     18.73157895 ...  4.2152      4.2152
  4.2152    ]","[20.93033223  4.61633469 16.1908908  ...  4.98997688  5.07078719
  5.3960515 ]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   23.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    9.18   5.85

[2922 rows x 2 columns]"
"[23.90619385  2.4661504  15.0782756  ...  6.93916006  3.04669993
  8.12241173]","[18.73157895  4.24160377 18.73157895 ...  4.24160377  4.24160377
  4.24160377]","[22.87551075  4.47414788 17.00309269 ...  5.18090271  5.24004561
  5.41947513]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   23.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    9.18   5.85

[2922 rows x 2 columns]"
"[23.86786419  2.36162263 15.25555973 ...  6.86743023  3.67327453
  8.00200616]","[18.6525      5.91990991 18.6525     ...  5.91990991  5.91990991
  5.91990991]","[21.937799    4.73327862 16.67806236 ...  5.36358504  5.52350615
  5.60890933]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   23.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    9.18   5.85

[2922 rows x 2 columns]"
"[24.40061592  2.54079756 15.19481292 ...  6.71939161  3.79568037
  7.9708315 ]","[18.6525      6.01894737 18.6525     ...  6.01894737  6.01894737
  6.01894737]","[21.51683668  4.85305959 17.3760365  ...  5.66095482  5.7142744
  5.76832749]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    9.18   5.85

[2922 rows x 2 columns]"
"[24.42225989  1.9287174  15.25672956 ...  6.4686072   3.71610329
  7.88392384]","[18.6525      6.01831933 18.6525     ...  6.01831933  6.01831933
  6.01831933]","[21.16576515  4.88657626 17.26243198 ...  5.33610331  5.27976684
  5.41440721]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    9.18   5.85

[2922 rows x 2 columns]"
"[24.96051675  2.29157656 14.84531862 ...  6.3759591   3.85301584
  8.39369386]","[19.11086957  5.98764228 19.11086957 ...  5.98764228  5.98764228
  5.98764228]","[22.54214358  5.0134473  16.54926318 ...  5.33982149  5.28830333
  5.38750068]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    9.18   5.85

[2922 rows x 2 columns]"
"[24.85128331  2.51393525 15.23927474 ...  6.54503871  4.60558212
  8.59371029]","[19.25208333  5.95253968 19.25208333 ...  5.95253968  5.95253968
  5.95253968]","[23.16125684  5.09692167 16.70434223 ...  5.58273593  5.56099911
  5.90338587]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[25.34079351  2.63904672 15.29938477 ...  6.70100497  5.05630323
  8.47187762]","[19.25208333  5.95985294 19.25208333 ...  5.95985294  5.95985294
  5.95985294]","[22.72207242  4.74437036 16.88445999 ...  5.33336625  5.1172143
  5.45125675]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[25.10680765  2.57986164 14.92173549 ...  6.97802732  5.13679398
  8.86051375]","[19.25208333  6.00464789 19.25208333 ...  6.00464789  6.00464789
  6.00464789]","[21.4321793   4.82255621 17.11946125 ...  5.39741592  5.19796229
  5.46310295]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.90849482  2.45936869 14.84937598 ...  7.08899749  5.27699951
  8.89475466]","[19.322       5.97554795 19.322      ...  5.97554795  5.97554795
  5.97554795]","[21.76664873  4.82965935 17.843214   ...  5.38683405  5.28846566
  5.53330937]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[25.01982752  2.34100324 14.91068125 ...  7.25995487  5.05592701
  8.78688282]","[19.322       5.97134228 19.322      ...  5.97134228  5.97134228
  5.97134228]","[21.18873506  4.84518934 16.88836749 ...  5.64614467  5.505533
  5.74356278]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[25.02814679  1.76221374 15.0188213  ...  7.2785902   5.05113757
  8.78088399]","[19.38653846  5.94593548 19.38653846 ...  5.94593548  5.94593548
  5.94593548]","[21.73428389  4.83513586 17.28653943 ...  5.61570448  5.2685672
  5.71722123]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[25.86811586  2.04797913 15.42658821 ...  6.98995279  4.77976611
  8.70877552]","[19.38653846  5.9983125  19.38653846 ...  5.9983125   5.9983125
  5.9983125 ]","[25.51765857  4.83825386 17.60701693 ...  5.53512847  5.27291493
  5.60891572]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[25.9284551   1.89321539 15.38185542 ...  6.97885539  4.82687617
  8.74149496]","[19.38653846  5.99606061 19.38653846 ...  5.99606061  5.99606061
  5.99606061]","[23.62339474  4.706419   17.55924999 ...  5.35229592  5.04074929
  5.44195248]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[25.26180198  2.03135472 14.92354162 ...  6.77606784  5.09853795
  8.88364019]","[18.96724138  6.00565476 18.96724138 ...  6.00565476  6.00565476
  6.00565476]","[20.90691588  4.75250445 16.7937972  ...  5.31868219  5.12500675
  5.4756223 ]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[25.29554963  2.11817417 14.97362872 ...  6.7902976   5.10934191
  8.85970484]","[19.19333333  4.39462264 19.19333333 ...  4.39462264  4.39462264
  4.39462264]","[20.16016847  4.59328268 17.14317057 ...  5.19238933  4.81120001
  5.29814372]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.813281    2.12342605 15.04290273 ...  6.76332821  5.17971542
  8.9032337 ]","[19.3840625   4.42384259 19.3840625  ...  4.42384259  4.42384259
  4.42384259]","[20.60961892  4.91128608 17.61402088 ...  5.26498821  5.07036096
  5.24279973]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.87968293  2.03841388 14.97934143 ...  6.85922255  4.7355043
  8.74625516]","[19.3840625   3.84701299 19.3840625  ...  3.84701299  3.84701299
  3.84701299]","[22.5425692   4.65883847 17.21930132 ...  5.09196402  4.7421165
  5.09196402]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[25.04645998  1.80878793 15.44779371 ...  6.47885919  5.21774149
  8.43175224]","[17.77391304  5.24468354 17.77391304 ...  5.24468354  5.24468354
  5.24468354]","[23.04355536  4.62374302 17.55305488 ...  5.09725811  4.72715906
  5.09725811]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.79540216  2.26176253 15.76554108 ...  6.78224734  5.3596073
  8.69317382]","[17.64042553  5.22728395 17.64042553 ...  5.22728395  5.22728395
  5.22728395]","[20.88381003  4.6544027  17.42543491 ...  5.2317536   4.7766146
  5.2317536 ]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.79698431  2.19519861 15.71333936 ...  6.65391831  5.358877
  8.69600076]","[17.68958333  5.48281768 17.68958333 ...  5.48281768  5.48281768
  5.48281768]","[20.90910235  4.74726589 17.48904586 ...  5.22741005  4.80298475
  5.22741005]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.89436539  2.36778007 15.81146539 ...  6.71788589  5.3094904
  8.72861029]","[17.58367347  5.20782353 17.58367347 ...  5.20782353  5.20782353
  5.20782353]","[22.31094326  4.64783823 17.02232471 ...  5.06789779  4.6752476
  5.06789779]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.18636108  2.38145885 15.86425687 ...  6.69056923  5.31269331
  8.71561128]","[17.40392157  5.20918605 17.40392157 ...  5.20918605  5.20918605
  5.20918605]","[22.63618456  4.68042771 16.81013827 ...  5.17052608  4.74889184
  5.17052608]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.20964319  2.31493025 15.85520362 ...  6.74980109  5.39178333
  8.65061833]","[17.61730769  5.20225989 17.61730769 ...  5.20225989  5.20225989
  5.20225989]","[20.90480159  4.70468389 17.07408953 ...  5.04766806  4.72910831
  5.04766806]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.20042729  3.57919383 16.54025388 ...  5.77601838  6.09552598
  8.85465312]","[17.61730769  5.23983516 17.61730769 ...  5.23983516  5.23983516
  5.23983516]","[20.98096518  4.53299546 17.37726772 ...  5.09971315  4.60690302
  5.09971315]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.51221313  2.42048266 15.8685834  ...  6.88613278  5.10251293
  8.59762425]","[16.29761905  5.21854839 16.29761905 ...  5.21854839  5.21854839
  5.21854839]","[20.60753843  4.41875531 17.10220201 ...  5.22703705  4.47336725
  5.22703705]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.40993103  2.48225173 15.95259149 ...  6.98903664  5.10434144
  8.66202416]","[16.11977273  5.21005208 16.11977273 ...  5.21005208  5.21005208
  5.21005208]","[21.63142271  4.68924053 17.30511017 ...  5.28322733  4.71583248
  5.28322733]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.68630143  2.6437921  15.79679007 ...  7.02431514  5.06058073
  8.62792454]","[16.11977273  5.22217617 16.11977273 ...  5.22217617  5.22217617
  5.22217617]","[19.50628087  4.79179131 17.12989504 ...  5.30571639  4.82410509
  5.26838761]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.38859797  2.91032839 16.02930975 ...  7.31030321  5.1006217
  8.63460112]","[16.11977273  5.18939698 16.11977273 ...  5.18939698  5.18939698
  5.18939698]","[21.03039502  4.38531975 17.39619427 ...  5.34992362  4.48714483
  5.34992362]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.45426333  2.92063391 16.06134224 ...  7.42694438  5.2784431
  8.92933881]","[16.11977273  5.17598039 16.11977273 ...  5.17598039  5.17598039
  5.17598039]","[19.77844081  4.59455113 17.70317457 ...  5.24688975  4.69850152
  5.28016266]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.81735873  2.98492646 16.10287094 ...  7.54449701  5.38015318
  8.81403494]","[16.11977273  5.19585714 16.11977273 ...  5.19585714  5.19585714
  5.19585714]","[19.16948275  4.83210892 17.62886694 ...  5.28632014  4.89505695
  5.28632014]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.86475885  3.0828768  16.09942567 ...  7.36479127  5.35442102
  8.77871764]","[16.11977273  5.16255814 16.11977273 ...  5.16255814  5.16255814
  5.16255814]","[21.42453046  4.60974456 17.53392905 ...  5.26822286  4.60974456
  5.26822286]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.59633446  2.88324046 16.42212319 ...  7.71042109  5.36889839
  8.79190135]","[16.11977273  5.16412037 16.11977273 ...  5.16412037  5.16412037
  5.16412037]","[19.88153885  4.52118988 18.1195849  ...  5.26143406  4.55357872
  5.23716476]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
